time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
11,-150.10281797,15,22528,126.61,1424,0.2,196.81300354003906,100,0.01332634687423706,-1.2302210278809071,441.29996943473816,0.0076843016,0.0003,0.0521484375,-0.00787260794750182
12,-143.90860101,17,24576,135.18,1414,0.2,240.92091369628906,110,0.015197992324829102,-1.2212143748998643,537.7751122474671,0.004106872,0.0003,0.035888671875,-0.006439931616478134
13,-141.22513423,19,26624,145.8,1400,0.2,191.40859985351562,120,0.030048489570617676,-1.1372913304716348,550.8908576488495,0.012666439,0.0003,0.076220703125,-0.008595036501355935
14,-139.65258092,20,28672,153.89,1391,0.2,107.58550262451172,130,0.1582317352294922,-1.1564833842217923,337.2754159450531,0.0054912223,0.0003,0.0212890625,-0.004064362328062998
15,-135.52935527,23,30720,169.14,1325,0.2,199.14520263671875,140,0.17142486572265625,-1.125726019591093,401.322062253952,0.005430609,0.0003,0.02421875,-0.004627791517123114
16,-134.31744719000002,25,32768,176.52,1305,0.2,63.26871871948242,150,0.29535335302352905,-1.1744340356439351,220.3527910709381,0.008949334,0.0003,0.06884765625,-0.00876819754485041
17,-130.40300637,27,34816,193.57,1270,0.2,100.90519714355469,160,0.15909641981124878,-1.1201760984957219,322.57306423187254,0.0078927325,0.0003,0.094140625,-0.011285392603895161
18,-127.60171347,29,36864,204.41,1235,0.2,94.70111083984375,170,0.4164837598800659,-1.107597103342414,193.27610709667206,0.0069184424,0.0003,0.0486328125,-0.005101507854851662
19,-125.47793033999999,31,38912,216.35,1225,0.2,299.8927917480469,180,0.40066277980804443,-1.0907641261816026,207.9768264770508,0.0063639274,0.0003,0.044580078125,-0.007155543276167009
20,-126.75552499000001,33,40960,230.48,1205,0.2,100.49675750732422,190,0.5191222727298737,-1.0434371914714575,206.4607831597328,0.006556751,0.0003,0.0455078125,-0.006996082607656717
21,-121.46988132000003,36,43008,245.33,1166,0.2,156.42633056640625,200,0.06735527515411377,-1.0634418753907084,426.7982807636261,0.005241491,0.0003,0.014892578125,-0.00310870894609252
22,-120.53475947000001,38,45056,254.54,1165,0.2,40.300758361816406,210,0.5644209980964661,-1.1142985686659812,181.71308200359346,0.006867064,0.0003,0.03291015625,-0.006196070302394219
23,-119.07582872999997,41,47104,267.2,1138,0.2,87.8899154663086,220,0.5425524115562439,-0.9752378506585956,191.26625967025757,0.009650776,0.0003,0.099462890625,-0.0077919851610204205
24,-116.08710739999998,44,49152,281.29,1104,0.2,38.85124588012695,230,0.7491910755634308,-1.0998495992273092,126.31999734640121,0.0072414055,0.0003,0.064697265625,-0.007132837635435862
25,-113.17943271,48,51200,299.29,1062,0.2,14.311339378356934,240,0.7533891052007675,-1.0990061156451703,102.12234206795692,0.006929159,0.0003,0.08037109375,-0.005138126447127434
26,-110.37226559000001,51,53248,313.0,1043,0.2,25.610109329223633,250,0.7243680655956268,-1.087343119829893,100.07894722223281,0.008300321,0.0003,0.05703125,-0.00628239530560677
27,-109.08145583,53,55296,330.34,1026,0.2,81.55350494384766,260,0.6199334859848022,-1.0892824914306403,129.36504188776016,0.009171903,0.0003,0.080419921875,-0.0058214665921696
28,-107.52419717000001,57,57344,346.23,989,0.2,15.980057716369629,270,0.7439291179180145,-1.0420917488634587,99.73873400092126,0.010222297,0.0003,0.14501953125,-0.007653581455815584
29,-104.33136441,61,59392,363.02,967,0.2,17.202619552612305,280,0.7779545485973358,-1.077597694285214,60.17860258817673,0.014295327,0.0003,0.17001953125,-0.01206326404644642
30,-100.06716229000001,65,61440,380.34,940,0.2,10.637872695922852,290,0.732195645570755,-0.9966348875313997,56.62551508843899,0.010277776,0.0003,0.084375,-0.005495268430968281
31,-97.32542422000002,68,63488,396.85,926,0.2,5.4953227043151855,300,0.757345512509346,-1.0334413630887866,37.042025077342984,0.008452195,0.0003,0.090673828125,-0.008866548566584243
32,-94.36602289000001,72,65536,411.35,902,0.2,9.204594612121582,310,0.7075265347957611,-1.0324412781745196,50.98660281002522,0.0068497555,0.0003,0.084912109375,-0.0061762800411088396
33,-91.47990294000002,75,67584,431.71,895,0.2,36.045284271240234,320,0.574645608663559,-0.8870376445353031,71.64135232269764,0.008262627,0.0003,0.063232421875,-0.004001975563005545
34,-88.5593445,79,69632,446.39,881,0.2,44.95469284057617,330,0.7106020748615265,-0.8389008840546012,103.71056951284409,0.0029212772,0.0003,0.0181640625,-0.002505058186216047
35,-87.19437009999997,82,71680,462.93,873,0.2,28.19149398803711,340,0.40979117155075073,-0.9722371468320489,97.18441367000341,0.0065902225,0.0003,0.046240234375,-0.0035070504301984327
36,-79.946561,85,73728,481.87,863,0.2,9.511764526367188,350,0.736591637134552,-1.0136895226314664,54.383170717954634,0.011641871,0.0003,0.1181640625,-0.008946857461705805
37,-79.33904726,87,75776,495.5,861,0.2,5.5152716636657715,360,0.6037409901618958,-0.9888099957257509,102.55321608334779,0.0063787904,0.0003,0.071826171875,-0.0026939427814795637
38,-76.53636283,91,77824,512.1,852,0.2,26.35428237915039,370,0.7870789170265198,-0.9980106234550477,71.09537573456764,0.003937064,0.0003,0.017529296875,-0.0023642569190997164
39,-73.43536468,95,79872,532.07,836,0.2,160.55091857910156,380,0.866225078701973,-0.9576538128778338,27.356305368244648,0.016940985,0.0003,0.130859375,-0.006561870477162302
40,-71.30172952000001,99,81920,548.04,825,0.2,2.50541615486145,390,0.6742213070392609,-1.0455689335241913,91.67723987028003,0.0056365132,0.0003,0.059619140625,-0.0025120569102000446
41,-67.58685909,102,83968,564.38,819,0.2,2.1312267780303955,400,0.7938264608383179,-0.9896266847848892,43.989724988862875,0.012229296,0.0003,0.17080078125,-0.007325301898526959
42,-66.60311654999998,106,86016,581.09,807,0.2,1.953545331954956,410,0.7365868389606476,-1.0449258267879487,54.8509350374341,0.014225146,0.0003,0.129296875,-0.0032072529662400483
43,-62.4291468,108,88064,593.45,808,0.2,1.9258772134780884,420,0.8551973104476929,-0.9443713398650289,34.55287716835737,0.012387948,0.0003,0.129052734375,-0.0075912546773906795
44,-59.61851836999999,112,90112,604.45,802,0.2,90.27938079833984,430,0.5675779283046722,-0.7644167413935066,216.58767321407794,0.004500377,0.0003,0.017041015625,-0.0021558648801146773
45,-56.33912313999999,115,92160,611.86,798,0.2,530.7811889648438,440,0.6647754907608032,-0.9949522521346807,117.84606055095792,0.01510164,0.0003,0.15771484375,-0.00686985188658582
46,-55.76178645,119,94208,628.59,786,0.2,23.260099411010742,450,0.5879113972187042,-0.9432530546560883,133.44850107431412,0.004953458,0.0003,0.040673828125,-0.0024039705818722722
47,-50.66533051,122,96256,645.75,784,0.2,15.561545372009277,460,0.8619987517595291,-0.9398173283785581,44.265365254879,0.011424846,0.0003,0.115283203125,-0.0048841246512893125
48,-49.70532250999999,125,98304,659.69,780,0.2,12.345187187194824,470,0.6997837722301483,-0.9947437934577466,123.13948634564876,0.0058884546,0.0003,0.0615234375,-0.0020305949001340196
49,-49.94066056,128,100352,664.46,779,0.2,1.5657392740249634,480,0.9230783209204674,-0.8625474743545055,27.027251003310084,0.0048331628,0.0003,0.041650390625,-0.0016076253239589277
50,-46.745995429999994,132,102400,679.65,774,0.2,221.12026977539062,490,0.5423336327075958,-0.9137198029085993,142.35262512713672,0.007119723,0.0003,0.083935546875,-0.0020584350400895345
51,-44.35050173,135,104448,693.61,768,0.2,12.221697807312012,500,0.8315953314304352,-0.8515777314081788,39.83053512051701,0.0108648995,0.0003,0.10478515625,-0.0019259602355305105
52,-38.475248650000005,138,106496,701.36,769,0.2,2.081861734390259,510,0.7982081770896912,-0.9829516479745507,43.46108583882451,0.0052110767,0.0003,0.08408203125,-0.005473198300751392
53,-32.24310593,140,108544,714.72,771,0.2,380.3827819824219,520,0.508222907781601,-0.8023778304457665,194.3917525291443,0.0061427252,0.0003,0.04140625,-0.0024961804374470375
54,-26.785384169999997,144,110592,725.94,767,0.2,32.733089447021484,530,0.6653881072998047,-0.8091930512338876,86.9551512002945,0.017167836,0.0003,0.0619140625,-0.0035226386509748407
55,-25.73732106,146,112640,735.57,766,0.2,117.08405303955078,540,0.6570228040218353,-0.8717047799378633,82.585594381392,0.0054938504,0.0003,0.034375,-0.002837086343424744
56,-20.92468012,151,114688,747.52,759,0.2,5.183884143829346,550,0.546623945236206,-0.9456703260540962,138.22811675071716,0.0038094958,0.0003,0.0330078125,-0.0025290440149547066
57,-20.967508529999996,153,116736,757.5,760,0.2,2.320300340652466,560,0.8092571198940277,-0.6838868452236057,42.057789001613855,0.002488223,0.0003,0.028125,5.8235853066435085e-05
58,-17.742335179999998,156,118784,771.03,757,0.2,66.6233139038086,570,0.7045283019542694,-0.7622305678203702,177.64252939373256,0.0041290093,0.0003,0.0279296875,-0.004865081121533876
59,-18.684301230000003,159,120832,773.62,758,0.2,229.7410888671875,580,0.8994867950677872,-0.7622520750388503,39.16331468634307,0.0041530896,0.0003,0.055712890625,-0.0011644497426459566
60,-15.707376420000003,163,122880,782.96,752,0.2,6.3493170738220215,590,0.7722828984260559,-0.8685540372505784,121.68085471987725,0.006197189,0.0003,0.0666015625,-0.0027735869178286522
