rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/clip_range,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/explained_variance
-122.6293405,2005,106.38888888888889,2048,1,1,,,,,,,,,,,
-120.14455391176472,1524,117.88235294117646,4096,2,2,-0.0038989250591839665,10,0.004126836,0.023828125,1.01123046875,0.2,0.0003,-2.848239769786596,1673.9873046875,2871.1185512542725,-0.002541780471801758
-116.97097880000001,1416,121.82,6144,4,3,-0.00627845584822353,20,0.005265465,0.03427734375,1.0151532888412476,0.2,0.0003,-2.8648599192500113,973.5830078125,2491.5976831436155,-0.006973743438720703
-124.46392773134328,1375,121.23880597014926,8192,5,4,-0.004519090770190815,30,0.004605131,0.026171875,1.0289733409881592,0.2,0.0003,-2.8833064056932924,1476.4552001953125,1611.0207836151124,-0.027163982391357422
-126.91142719512196,1338,123.8780487804878,10240,7,5,-0.0038403915736125783,40,0.0049973573,0.021484375,0.9920716285705566,0.2,0.0003,-2.8584534898400307,395.8626403808594,1168.9560223579406,-0.0010398626327514648
-128.9064913877551,1323,124.3265306122449,12288,9,6,-0.0022925933910300953,50,0.0033397386,0.014404296875,0.9986139535903931,0.2,0.0003,-2.8282024756073953,497.72698974609375,1151.518002986908,-0.0018318891525268555
-134.15565694,1310,127.21,14336,10,7,-0.00712626655731583,60,0.007319928,0.05224609375,0.984703779220581,0.2,0.0003,-2.8181100234389307,781.0064086914062,1222.9397756576539,-0.0025528669357299805
-133.47344673,1302,127.7,16384,12,8,-0.005756620148895308,70,0.0062052347,0.0943359375,0.9873820543289185,0.2,0.0003,-2.805832900106907,256.6028747558594,638.880482673645,0.00012010335922241211
-142.76432495,1294,129.07,18432,14,9,-0.003489578142034588,80,0.004326142,0.061328125,0.9932839870452881,0.2,0.0003,-2.8088344641029837,390.9918212890625,987.986163520813,3.814697265625e-06
-142.88581191,1265,134.68,20480,16,10,-0.004093833327351604,90,0.008393292,0.06474609375,0.9834660887718201,0.2,0.0003,-2.8195057213306427,485.1836853027344,929.5498106956481,-0.0004278421401977539
-143.16572531,1258,137.75,22528,17,11,-0.00281100758802495,100,0.003443133,0.0111328125,0.9859928488731384,0.2,0.0003,-2.8048899553716184,584.2550048828125,1186.484928894043,-0.00021779537200927734
-140.54330923,1247,142.82,24576,19,12,-0.005564105277881026,110,0.007322855,0.057568359375,0.9936906099319458,0.2,0.0003,-2.822126189619303,324.9088439941406,940.7019574165345,-0.0013852119445800781
-143.45506443,1236,147.75,26624,21,13,-0.00520034765577293,120,0.0044483026,0.039306640625,0.9909452199935913,0.2,0.0003,-2.824807125329971,237.85108947753906,467.4201663970947,-0.0015014410018920898
-143.34960133,1224,156.47,28672,23,14,-0.006542033955338411,130,0.004623833,0.0369140625,0.9837920665740967,0.2,0.0003,-2.8108677200973036,148.2975616455078,455.73335909843445,-0.00015044212341308594
-138.96144612,1222,158.68,30720,25,15,-0.004145656141918153,140,0.008083434,0.060107421875,0.990619421005249,0.2,0.0003,-2.8086121648550035,155.1746826171875,359.6753393173218,-1.1682510375976562e-05
-138.1669412,1215,165.47,32768,26,16,-0.0067832184839062394,150,0.006892072,0.040478515625,0.9921557903289795,0.2,0.0003,-2.818936999887228,167.95556640625,430.77148003578185,-0.0004467964172363281
-136.90624375,1158,177.99,34816,30,17,-0.003592104249401018,160,0.0042037824,0.032373046875,0.9893658757209778,0.2,0.0003,-2.8181958995759486,639.2654418945312,952.3163558959961,-0.00048172473907470703
-134.79995534,1157,182.39,36864,31,18,-0.0016936845917371103,170,0.0023414935,0.00302734375,0.9882866740226746,0.2,0.0003,-2.814353932440281,288.9527282714844,369.9463116645813,0.0001779794692993164
-132.9964881,1153,185.85,38912,33,19,-0.005912706842354965,180,0.010497376,0.03115234375,0.9883592128753662,0.2,0.0003,-2.813897108286619,128.2722625732422,368.6595131158829,-6.67572021484375e-06
-132.99907648,1143,192.53,40960,35,20,-0.004093236834160052,190,0.006932512,0.056201171875,0.9789090156555176,0.2,0.0003,-2.8043343745172025,330.463134765625,530.9260986328125,-0.0016095638275146484
-126.79733943000001,1071,209.92,43008,40,21,-0.0010494850685063284,200,0.0046832813,0.00830078125,0.9809041023254395,0.2,0.0003,-2.7949714079499244,132.83285522460938,387.18689622879026,-1.5616416931152344e-05
-127.70725791,1030,219.71,45056,43,22,-0.004339346365304664,210,0.009198885,0.094580078125,0.9815320372581482,0.2,0.0003,-2.797735070437193,112.8270263671875,189.65087075233458,0.00015425682067871094
-124.84359641,1013,236.82,47104,46,23,-0.004057770207873545,220,0.0057352716,0.0318359375,0.9788644313812256,0.2,0.0003,-2.796370592713356,31.509279251098633,195.69110839366914,0.0013633966445922852
-125.50715028,988,243.82,49152,49,24,-0.004914488163922215,230,0.004067542,0.023486328125,0.9733749032020569,0.2,0.0003,-2.789717163145542,118.33975219726562,271.4227182865143,0.004219233989715576
-121.68847700999999,980,258.54,51200,52,25,-0.0020228151715855347,240,0.0039704256,0.013330078125,0.9728603363037109,0.2,0.0003,-2.783350332826376,169.2511749267578,336.5882962703705,0.10117030143737793
-121.26082066,960,269.88,53248,55,26,-0.0059578875443548895,250,0.0055299792,0.040283203125,0.9719453454017639,0.2,0.0003,-2.7813956178724766,91.81995391845703,256.8085753679276,0.22149622440338135
-118.76846633999997,944,280.07,55296,58,27,-0.005584331516729435,260,0.0075907046,0.060546875,0.9789329171180725,0.2,0.0003,-2.7878241509199144,53.17133712768555,217.52094843387604,0.2764509320259094
-116.29973577999999,892,296.13,57344,64,28,-0.004376196189696202,270,0.004253736,0.02265625,0.9790851473808289,0.2,0.0003,-2.794297094643116,149.73870849609375,366.63405470848085,0.3690221309661865
-111.66441286999998,861,311.63,59392,68,29,-0.006204864622850437,280,0.008619387,0.0884765625,0.9691030979156494,0.2,0.0003,-2.7860906295478345,20.795503616333008,73.48677630126477,0.6362062096595764
-112.47733052000001,834,329.5,61440,73,30,-0.005230823915917426,290,0.005933549,0.0640625,0.9607846736907959,0.2,0.0003,-2.7687655054032803,30.113426208496094,94.36222392320633,0.3998914361000061
-105.98061210000002,799,343.82,63488,79,31,-0.011140700541000114,300,0.00935599,0.092724609375,0.9628833532333374,0.2,0.0003,-2.7579301573336124,54.1289176940918,127.34268726110459,0.47666072845458984
-105.57149766999999,786,366.84,65536,83,32,-0.007307942234911024,310,0.008604422,0.0740234375,0.95378577709198,0.2,0.0003,-2.7506798885762693,20.878442764282227,43.46646646857262,0.564235270023346
-103.8191648,772,376.93,67584,87,33,-0.0017892678297357634,320,0.0038443832,0.035791015625,0.9490964412689209,0.2,0.0003,-2.7387352623045444,25.80018424987793,177.93973914980887,0.08292973041534424
-100.10050923,760,399.49,69632,91,34,-0.0051970469772641085,330,0.0036817072,0.0392578125,0.9480675458908081,0.2,0.0003,-2.7315860517323016,112.18130493164062,158.3115823507309,0.11053884029388428
-96.77318677,748,416.06,71680,95,35,-0.005819042373332195,340,0.006452922,0.0607421875,0.9374363422393799,0.2,0.0003,-2.7201014563441275,12.36547565460205,93.65171428620815,0.3894771933555603
-97.20994858,732,428.23,73728,100,36,-0.009884587554552127,350,0.008320451,0.0916015625,0.9296615123748779,0.2,0.0003,-2.703600386530161,17.072633743286133,54.769298219680785,0.42703163623809814
-93.50824822999999,722,445.24,75776,104,37,-0.003716797597007826,360,0.0068458337,0.0693359375,0.932018518447876,0.2,0.0003,-2.6951084583997726,104.67217254638672,68.5818251490593,0.16188734769821167
-90.92253079999999,714,462.35,77824,108,38,-0.007153477679821663,370,0.008389164,0.0921875,0.9163334369659424,0.2,0.0003,-2.6788378335535525,8.429862976074219,33.001637178659436,0.5975847840309143
-88.52819362,700,483.11,79872,114,39,-0.0074915971810696645,380,0.0069053136,0.073388671875,0.9131014347076416,0.2,0.0003,-2.6593288496136664,8.604680061340332,37.48729454576969,0.36833083629608154
-86.13989248000001,686,496.78,81920,119,40,-0.005532078968826681,390,0.005096798,0.05908203125,0.899530291557312,0.2,0.0003,-2.6407407604157926,216.93798828125,70.60014559924602,0.4516370892524719
-79.85943044,676,512.52,83968,124,41,-0.0029691074065340216,400,0.008625554,0.078759765625,0.8960275053977966,0.2,0.0003,-2.6223195545375346,29.682941436767578,85.93269822895527,0.5867915749549866
-80.49183967,667,527.83,86016,128,42,-0.003209811211854685,410,0.0046905214,0.04189453125,0.8972829580307007,0.2,0.0003,-2.618665956705809,8.541287422180176,110.75804271996022,0.43449676036834717
-77.61660411,653,543.72,88064,134,43,-0.011702010624867398,420,0.008656491,0.1044921875,0.8856521844863892,0.2,0.0003,-2.6075028464198113,4.3976922035217285,13.90728719830513,0.8885633274912834
-75.48450622000001,651,560.65,90112,138,44,-0.008386842978507048,430,0.0075228037,0.085791015625,0.8726111650466919,0.2,0.0003,-2.57909324914217,4.484005928039551,21.88285435587168,0.8039966523647308
-75.38885391,641,565.87,92160,143,45,-0.0030495372135192155,440,0.006435939,0.068212890625,0.8663206696510315,0.2,0.0003,-2.5604439422488214,5.167769908905029,29.5957030788064,0.7413005530834198
-71.93272678,636,582.97,94208,148,46,-0.004156242843600921,450,0.008089793,0.09189453125,0.8532483577728271,0.2,0.0003,-2.53567379117012,26.24498748779297,74.14604982584714,0.4395573139190674
-68.37531057,627,598.01,96256,153,47,-0.0021994571961840848,460,0.005752732,0.074072265625,0.8450874090194702,0.2,0.0003,-2.508956415951252,113.52991485595703,35.45012044757605,0.5240547955036163
-68.05742558,625,618.84,98304,157,48,-0.0031766586034791544,470,0.005695861,0.05966796875,0.8344264030456543,0.2,0.0003,-2.4867636919021607,2.07224440574646,27.426491728425027,0.7474483549594879
-66.36512143,624,632.63,100352,160,49,-0.0037371079666627337,480,0.0068614534,0.072412109375,0.8402734994888306,0.2,0.0003,-2.482037052512169,8.000441551208496,111.37086886763572,0.45152515172958374
-63.36785969,614,648.67,102400,166,50,-0.0020323107339208944,490,0.0074732928,0.070947265625,0.8314638733863831,0.2,0.0003,-2.4824438214302065,41.577335357666016,87.72970451712608,0.6181749999523163
-63.03749199000001,609,663.56,104448,171,51,-0.0029985968285473064,500,0.0059014326,0.06298828125,0.8297724723815918,0.2,0.0003,-2.4671225316822527,5.36464786529541,20.379400178045035,0.47775745391845703
-55.41792543,605,681.68,106496,175,52,-0.002672308530600276,510,0.007913988,0.0611328125,0.8314352035522461,0.2,0.0003,-2.4691343419253826,4.12296199798584,58.0876281440258,0.5850456953048706
-55.16911521,604,697.12,108544,179,53,-0.005017163645243272,520,0.005198319,0.07998046875,0.8295468091964722,0.2,0.0003,-2.4688613794744017,115.78618621826172,109.50259450227023,0.4475991725921631
-52.70787872,603,711.65,110592,183,54,-0.00040028523508226497,530,0.009912053,0.08583984375,0.8181516528129578,0.2,0.0003,-2.4485012575984,8.020858764648438,46.428186090290545,0.7565287798643112
-53.31391982000001,599,728.1,112640,187,55,-0.004450991288467776,540,0.010098306,0.110986328125,0.8045918941497803,0.2,0.0003,-2.416120597720146,3.0520131587982178,14.392196994274855,0.8679740130901337
-50.89309258,599,741.93,114688,191,56,-0.0017589042210602202,550,0.004836064,0.057763671875,0.8017361164093018,0.2,0.0003,-2.398873423784971,21.3736572265625,45.460480731725696,0.7135502696037292
-49.06202813,595,757.37,116736,196,57,-0.005049650176079013,560,0.0066737686,0.0548828125,0.8029676675796509,0.2,0.0003,-2.3982336543500424,6.932347297668457,33.43561766222119,0.6752960383892059
-46.93258155,593,766.0,118784,199,58,-0.00884931578184478,570,0.01130768,0.124609375,0.7912319898605347,0.2,0.0003,-2.3850031405687333,4.274750709533691,20.312310920655726,0.8232076615095139
-44.31191789,588,773.83,120832,205,59,-0.0011151900020195172,580,0.0064758426,0.05478515625,0.7915353178977966,0.2,0.0003,-2.3691102027893067,9.176887512207031,38.56573344245553,0.6173345744609833
-43.27146993999999,584,781.08,122880,210,60,-0.002774990136094857,590,0.0071773203,0.059033203125,0.7946967482566833,0.2,0.0003,-2.373269522935152,5.966002464294434,33.62647347971797,0.6609036326408386
-42.61299736,583,789.35,124928,214,61,-0.0029815498244715856,600,0.006604825,0.065869140625,0.7863337993621826,0.2,0.0003,-2.3697357304394244,2.7365059852600098,33.96286457553506,0.60618856549263
-38.346199039999995,579,803.06,126976,218,62,1.2223972589708865e-05,610,0.0053912215,0.03583984375,0.7809511423110962,0.2,0.0003,-2.348094577342272,3.8354878425598145,24.29828201010823,0.736131489276886
-37.29729765,576,815.1,129024,223,63,-0.003988592238601996,620,0.008302559,0.07236328125,0.7739419937133789,0.2,0.0003,-2.3350624963641167,24.385425567626953,62.21256090551615,0.568566232919693
-29.312302959999993,574,828.09,131072,228,64,-0.0017221702262759208,630,0.006668733,0.12080078125,0.7655371427536011,0.2,0.0003,-2.3150777615606786,4.82973051071167,29.976611414551734,0.7985468357801437
-29.044263129999994,575,829.23,133120,231,65,-0.0028229126739461206,640,0.0056442637,0.05576171875,0.765100359916687,0.2,0.0003,-2.30246065557003,60.3965950012207,93.50697242170573,0.4969440698623657
-22.50706572,575,841.89,135168,234,66,-0.006119503562513273,650,0.0029824388,0.034912109375,0.7592508792877197,0.2,0.0003,-2.29644088819623,104.70777893066406,217.00515429377555,0.4101029634475708
-22.777539729999997,575,852.73,137216,238,67,-0.0015329410765843932,660,0.0057966597,0.04921875,0.7557264566421509,0.2,0.0003,-2.2817847445607184,19.823028564453125,139.34684043228626,0.42512786388397217
-19.65537572,576,858.52,139264,241,68,-0.007149432921141852,670,0.0125702545,0.11962890625,0.7485334277153015,0.2,0.0003,-2.266747986525297,9.159988403320312,60.08967346698046,0.5049136877059937
-12.715991229999995,578,866.94,141312,244,69,-0.004919617343693972,680,0.005460152,0.0669921875,0.7455534934997559,0.2,0.0003,-2.2562839828431605,220.64195251464844,123.87239268869162,0.38343048095703125
-15.316448989999996,577,867.26,143360,248,70,-0.00486147212832293,690,0.0077523044,0.075927734375,0.7458075284957886,0.2,0.0003,-2.2507412806153297,67.9269027709961,78.85457433909178,0.5717707276344299
-16.639292389999994,578,856.46,145408,251,71,-0.009865139506291597,700,0.006242014,0.065869140625,0.7457754611968994,0.2,0.0003,-2.2521892696619035,119.31787872314453,121.93396929055453,0.46421945095062256
-12.060492959999994,577,852.01,147456,255,72,-0.004684641618950991,710,0.008564697,0.10537109375,0.750515341758728,0.2,0.0003,-2.2580002427101133,8.36902904510498,111.99244547486305,0.49888068437576294
-12.076514749999996,573,855.2,149504,260,73,-0.003872011489147553,720,0.0036864378,0.0349609375,0.7474502921104431,0.2,0.0003,-2.260405993461609,10.90182876586914,80.89962414056063,0.36338984966278076
-10.807414859999996,574,846.95,151552,263,74,-0.0017073377224733123,730,0.009185559,0.085302734375,0.7475618124008179,0.2,0.0003,-2.253744426369667,42.01251983642578,86.96780573427677,0.67155721783638
-10.499864930000001,572,848.88,153600,268,75,-0.001289392228136421,740,0.0050571505,0.0435546875,0.7417237758636475,0.2,0.0003,-2.2492289803922176,32.447837829589844,128.98130472302438,0.426788330078125
-8.14250028,566,852.7,155648,274,76,-0.000523457150120521,750,0.0054232995,0.052197265625,0.7307677268981934,0.2,0.0003,-2.2275759905576704,330.0730285644531,82.66421200931072,0.5072339177131653
-8.79343894,565,849.38,157696,278,77,-0.0023214489992824383,760,0.009649767,0.082421875,0.7200689315795898,0.2,0.0003,-2.19271958693862,3.0179367065429688,45.91817830502987,0.4378046989440918
-6.703208629999999,566,842.27,159744,282,78,-0.0021716357750847237,770,0.0069163223,0.0919921875,0.7093862891197205,0.2,0.0003,-2.1647738978266715,101.23268127441406,95.60606307163835,0.32769936323165894
-6.067744329999998,563,838.78,161792,286,79,-0.0021528448320168535,780,0.0046793986,0.042724609375,0.7069622278213501,0.2,0.0003,-2.1464008539915085,61.27958679199219,149.08924269676208,0.3141651153564453
