time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/loss,train/approx_kl
22,45056,42,260.48,-112.06645853,1063,-0.00789803568768548,-1.0440386427566408,0.0003,0.5695015788078308,0.04130859375,0.2,241.1542542219162,210,48.406185150146484,0.0065377355
23,47104,44,272.54,-109.77081874,1047,-0.006647274833812844,-1.1934737153351307,0.0003,0.8600776046514511,0.053369140625,0.2,129.2357481300831,220,64.44010925292969,0.0072241956
24,49152,47,283.36,-106.95940314999999,1035,-0.005202620248746825,-1.0770071920007467,0.0003,0.8201365023851395,0.0275390625,0.2,142.36197541356086,230,30.583885192871094,0.004366014
25,51200,50,302.68,-103.69987869999999,1012,-0.0071647720382316035,-1.08598899692297,0.0003,0.8438464105129242,0.053173828125,0.2,130.83029767870903,240,26.348461151123047,0.007619884
26,53248,54,319.89,-99.88591570999999,981,-0.011518424953101203,-1.0628407284617425,0.0003,0.7582873702049255,0.098095703125,0.2,166.25696184039117,250,36.973323822021484,0.007935654
27,55296,56,328.79,-99.42881746,975,-0.009313165210187435,-1.172006968408823,0.0003,0.8452066332101822,0.080029296875,0.2,60.72868646085262,260,7.710176467895508,0.008296255
28,57344,59,345.52,-96.46437868999999,962,-0.004191406437894329,-1.0856533888727427,0.0003,0.8146472722291946,0.041552734375,0.2,124.82896855473518,270,58.60327911376953,0.0051574213
29,59392,62,360.76,-94.91208162,943,-0.005775313732738141,-1.0578050086274744,0.0003,0.7847705036401749,0.0830078125,0.2,101.00389771461487,280,16.834577560424805,0.009486207
30,61440,65,377.37,-93.26922522999999,937,-0.010768429053860018,-1.1212727010250092,0.0003,0.8106505274772644,0.241455078125,0.2,59.484319145977494,290,7.350805759429932,0.015420674
31,63488,68,393.81,-93.59247751999999,929,-0.009674097891547717,-1.0612293168902398,0.0003,0.8810337334871292,0.0990234375,0.2,34.470883049070835,300,4.954596996307373,0.010558314
32,65536,71,397.81,-90.86824386,916,-0.005911402708443347,-1.0244265308603644,0.0003,0.8321925699710846,0.086181640625,0.2,47.57663070857525,310,5.968390464782715,0.009057776
33,67584,75,401.48,-87.86257217,898,-0.008478129106515553,-0.9065012484788895,0.0003,0.6939932405948639,0.097021484375,0.2,129.8866322875023,320,45.18195343017578,0.009722937
34,69632,77,419.66,-83.42210518,897,-0.005295324728649575,-0.98355204295367,0.0003,0.7049082219600677,0.051806640625,0.2,98.94529908001422,330,15.171483993530273,0.0088673
35,71680,80,437.64,-81.19121177999999,888,-0.005838697811122983,-0.9255325324833393,0.0003,0.6794247925281525,0.03359375,0.2,188.7165616095066,340,36.06614685058594,0.0062921233
36,73728,82,450.18,-79.56684951000001,889,-0.008444800500728888,-1.020979972742498,0.0003,0.8335497081279755,0.1125,0.2,70.39000979959965,350,7.468869209289551,0.010514315
37,75776,86,460.69,-78.40345451,877,-0.00862890367207001,-1.0367062125355004,0.0003,0.8449358642101288,0.044287109375,0.2,104.41132924258709,360,23.931222915649414,0.0070024095
38,77824,88,473.28,-74.94410181,874,-0.005063019100634847,-1.0437144055962562,0.0003,0.8192269802093506,0.073291015625,0.2,62.36277199089527,370,6.816309928894043,0.00782055
39,79872,92,494.09,-70.16030961999999,866,-0.01035161531472113,-1.036679103039205,0.0003,0.8518756926059723,0.08583984375,0.2,67.07638882398605,380,5.461479187011719,0.008827403
40,81920,94,511.01,-66.84042323,865,-0.008779869230420446,-0.9336809599772096,0.0003,0.7558697611093521,0.09287109375,0.2,90.71353280544281,390,80.46382141113281,0.013229512
41,83968,96,522.22,-62.394119440000004,867,-0.0050656435858400075,-0.9347304487600923,0.0003,0.7778323441743851,0.059423828125,0.2,98.41994612962007,400,255.18292236328125,0.008094283
42,86016,99,532.09,-60.139022790000006,861,-0.0044245079341635575,-0.9077267648652196,0.0003,0.7642514258623123,0.02900390625,0.2,206.8759987950325,410,232.64474487304688,0.0066643516
43,88064,103,541.63,-55.850812940000004,852,-0.006547140330803813,-0.8744316779077053,0.0003,0.7494619488716125,0.078759765625,0.2,78.32749294266105,420,10.537981033325195,0.008318547
44,90112,107,560.91,-50.288878860000004,840,-0.004647346122874296,-0.8739566622301936,0.0003,0.705939769744873,0.1314453125,0.2,95.07374028116465,430,18.767791748046875,0.00958501
45,92160,110,566.53,-49.69719448000001,837,-0.003187211061049311,-0.9894392319023609,0.0003,0.7683291435241699,0.141064453125,0.2,69.62060334682465,440,2.8698110580444336,0.012705946
46,94208,112,579.03,-46.774645330000006,833,-0.0017470767481427174,-0.8255312154069543,0.0003,0.7470830380916595,0.0259765625,0.2,91.29399641156196,450,4.796962261199951,0.0039214087
47,96256,116,596.21,-44.95834454,829,-0.00473317902215058,-0.9622845213860274,0.0003,0.7237645387649536,0.121533203125,0.2,93.8252855360508,460,3.4009006023406982,0.009533484
48,98304,119,603.6,-43.41294445999999,821,-0.004748767828277778,-0.9829158969223499,0.0003,0.7455620467662811,0.139599609375,0.2,33.66144937649369,470,3.4618422985076904,0.013391633
49,100352,122,605.97,-44.54058792,816,-0.0033829379652161153,-0.9016127405688167,0.0003,0.8545109778642654,0.063427734375,0.2,32.24934295266867,480,0.6000106334686279,0.007532535
50,102400,125,620.94,-41.36444995000001,813,-0.001222417729513836,-0.8204929070547223,0.0003,0.922504760324955,0.031640625,0.2,41.2632184907794,490,11.017914772033691,0.0040953187
51,104448,129,633.28,-37.32652951000001,809,-0.0030339138727867978,-0.925347620435059,0.0003,0.8516880869865417,0.149169921875,0.2,33.06340868622065,500,2.6587750911712646,0.013589862
52,106496,132,643.8,-35.28027764,806,-0.0026432538114022465,-0.948981111869216,0.0003,0.7870002090930939,0.03134765625,0.2,75.19411587864161,510,2.6159911155700684,0.008342148
53,108544,135,661.7,-33.09517717,802,-0.0027697606825313414,-0.8341325979679823,0.0003,0.7691372185945511,0.07021484375,0.2,63.94305164217949,520,26.149511337280273,0.010890778
54,110592,138,676.34,-26.044339720000004,800,-0.0014365608574735233,-0.925898220948875,0.0003,0.7564374059438705,0.043505859375,0.2,71.85944776833057,530,3.9211039543151855,0.006762187
55,112640,141,692.65,-23.928608299999997,797,-0.0017337378878437449,-0.8942133387550711,0.0003,0.7255859673023224,0.030322265625,0.2,94.16086046844721,540,47.39567184448242,0.0037863478
56,114688,144,707.49,-22.393823739999995,796,-0.007789139726082794,-0.8587490901350975,0.0003,0.8460182398557663,0.1259765625,0.2,39.318261560797694,550,3.146639585494995,0.016426858
57,116736,147,714.8,-20.936751869999995,790,-0.0036277116843848487,-0.9827230239287019,0.0003,0.8795521482825279,0.102392578125,0.2,25.90507857631892,560,0.7123446464538574,0.010940934
58,118784,151,722.15,-19.396130489999997,785,-0.004609969911689405,-0.9523404499515891,0.0003,0.8635435104370117,0.07109375,0.2,42.14658883158118,570,1.5493561029434204,0.010333484
59,120832,154,736.83,-17.43877865,780,-0.003360460322437575,-0.9690232722088694,0.0003,0.8707504570484161,0.1103515625,0.2,33.23721210360527,580,0.8637349605560303,0.009457005
60,122880,157,742.46,-16.41528727,779,-0.0011252089607296512,-0.9689902240410447,0.0003,0.8671539276838303,0.04052734375,0.2,43.991257642023264,590,0.4328245520591736,0.008596923
61,124928,160,757.46,-13.67667385,776,-0.0017995784706727135,-0.9116423565894365,0.0003,0.7979501336812973,0.069970703125,0.2,65.18327756226063,600,5.816143989562988,0.00908981
62,126976,164,770.72,-9.43713757,773,-0.00576907465219847,-0.9947586329653859,0.0003,0.8718912601470947,0.1494140625,0.2,34.08528140066191,610,0.36007311940193176,0.009529209
63,129024,169,777.75,-9.340596850000003,762,-0.0007912293003755622,-0.9001984126865864,0.0003,0.7665068358182907,0.031103515625,0.2,85.53520511053503,620,30.87525177001953,0.0016843667
64,131072,173,777.75,-9.50079204,757,-0.001495229789725272,-0.9800337361171841,0.0003,0.867231547832489,0.095947265625,0.2,38.04718264639378,630,0.5742588639259338,0.006951281
65,133120,175,783.28,-7.23061346,758,-0.014060368471837137,-0.9578638177365064,0.0003,0.8602501004934311,0.141552734375,0.2,36.61760623343289,640,0.6830906867980957,0.014303213
66,135168,178,791.01,-6.1824626799999995,755,-0.002532189818157349,-0.9092766990885138,0.0003,0.601326197385788,0.046044921875,0.2,131.24258200079203,650,5.15935754776001,0.0072240243
67,137216,182,797.66,-5.72953296,752,-0.0016061710892245173,-0.9853385338559747,0.0003,0.8803914189338684,0.02763671875,0.2,47.33459165431559,660,5.451351165771484,0.007888088
68,139264,185,805.41,-4.385328770000002,749,-0.005179821887577418,-0.8863435322418809,0.0003,0.8922360315918922,0.131884765625,0.2,33.45540522113443,670,0.31273725628852844,0.015709301
69,141312,188,795.34,-4.204735500000002,747,-0.002174359088530764,-0.9995988477021456,0.0003,0.8590710014104843,0.116552734375,0.2,48.173487530089915,680,0.472750723361969,0.008591227
70,143360,191,796.13,-1.6863637700000011,747,-0.00032317233199137264,-0.8812375860288739,0.0003,0.7480300962924957,0.000341796875,0.2,88.95749047920108,690,208.35482788085938,0.0038602564
71,145408,194,800.5,-3.6545692700000005,746,-0.002103054642066127,-0.970167339220643,0.0003,0.8926045373082161,0.076025390625,0.2,42.376274812221524,700,0.2466195821762085,0.010353217
72,147456,198,808.46,-3.4842394899999998,743,-0.001757744482893031,-0.9161826685070992,0.0003,0.8959180191159248,0.056640625,0.2,34.62721312372014,710,0.5075633525848389,0.005805483
73,149504,201,812.92,-4.04610015,741,-0.0041452340254181765,-0.9242039021104574,0.0003,0.9139546379446983,0.0958984375,0.2,31.91041645137593,720,0.3320046663284302,0.016108643
74,151552,205,819.32,-3.6808578599999993,737,-0.002925756356853526,-0.9638177111744881,0.0003,0.8936305865645409,0.118798828125,0.2,49.6574876382947,730,0.5517697930335999,0.011071144
75,153600,208,826.29,-2.771431349999999,735,-0.005553887486894382,-0.9527995435521006,0.0003,0.9039876610040665,0.134912109375,0.2,37.475581207685174,740,0.38355305790901184,0.012314639
76,155648,212,833.11,-2.0695927599999995,734,-0.007334407257440034,-0.9609802318736911,0.0003,0.8914340957999229,0.095947265625,0.2,40.493251549638806,750,1.0296075344085693,0.005517427
77,157696,214,845.98,0.028491310000001137,734,-0.0035031792882364242,-0.9463812211528421,0.0003,0.9063315689563751,0.12529296875,0.2,35.101424371404576,760,0.4276654124259949,0.009988673
78,159744,217,845.98,-0.12692801999999886,733,-0.0007151330304623116,-0.884537991322577,0.0003,0.7586406618356705,0.010205078125,0.2,136.4728801302612,770,4.943410396575928,0.003164855
79,161792,220,852.54,0.9951198599999996,732,-0.002774720515299123,-0.8787955338135361,0.0003,0.8956621810793877,0.087646484375,0.2,36.80436992798932,780,0.3007441759109497,0.010352835
80,163840,223,852.54,1.775435590000001,731,-0.0024899964992073365,-0.8012090854346752,0.0003,0.9253458082675934,0.034326171875,0.2,30.94912995395716,790,0.2954632341861725,0.003451794
81,165888,226,844.94,-3.7603347699999983,733,-0.007446051937586162,-0.8240354571491479,0.0003,0.9167640581727028,0.095166015625,0.2,31.640193354990334,800,0.3000712990760803,0.007475391
82,167936,228,851.85,-1.6812914199999986,734,-0.0016215674979321193,-0.7440863752737641,0.0003,0.6689250469207764,0.02568359375,0.2,288.1144515037537,810,257.6457214355469,0.0041591274
83,169984,231,859.45,-0.5184320799999991,734,-0.0009953113942174241,-0.7749673767015338,0.0003,0.9139906987547874,0.000927734375,0.2,65.05876507088541,820,9.385729789733887,0.001369188
84,172032,233,862.37,0.531220000000001,735,-0.004899330282205483,-0.7405476853251457,0.0003,0.8766503036022186,0.050732421875,0.2,132.38313708156346,830,92.77542877197266,0.0063903686
85,174080,236,858.43,-0.8840751499999991,735,-0.002591640303580789,-0.7345310542732477,0.0003,0.7232084274291992,0.04130859375,0.2,155.54309805035592,840,42.0096321105957,0.0049715135
86,176128,239,851.93,2.3899632900000016,735,-0.0021962925486150196,-0.6997283469885588,0.0003,0.8138435333967209,0.026171875,0.2,158.53356549292803,850,8.571904182434082,0.004200497
87,178176,241,840.99,6.733627470000003,737,-0.00547780754204723,-0.6871925309300423,0.0003,0.6623079776763916,0.054345703125,0.2,141.83475645780564,860,66.51656341552734,0.013195859
88,180224,243,818.37,8.51098995,738,-0.0042716872165328825,-0.5800206148996949,0.0003,0.7774907946586609,0.047900390625,0.2,228.57313091158866,870,93.40991973876953,0.0060683005
89,182272,246,805.48,10.365331300000003,740,-0.002040404058789136,-0.7040426483377814,0.0003,0.7389504015445709,0.00947265625,0.2,183.1127393782139,880,23.115192413330078,0.0020593603
90,184320,248,785.84,8.71954209,742,-0.006048195882613072,-0.6364965764805675,0.0003,0.6570126712322235,0.06865234375,0.2,191.904165366292,890,286.6855163574219,0.02705498
91,186368,250,774.68,11.98319464,743,-0.004671179776778445,-0.7343563951551915,0.0003,0.7050397396087646,0.037158203125,0.2,208.22409659028054,900,122.88848114013672,0.004223655
92,188416,252,730.45,10.684376669999999,746,-0.0022164277052070247,-0.7723667021840811,0.0003,0.7014060020446777,0.02255859375,0.2,183.0885003864765,910,71.92469024658203,0.0062967157
93,190464,254,691.09,14.768018969999998,747,-0.002218718240828821,-0.6745386710390449,0.0003,0.5404761731624603,0.0095703125,0.2,430.7945772409439,920,116.1744155883789,0.0025920495
94,192512,256,664.07,16.138939439999998,749,-0.0008941536856582388,-0.7155857475474476,0.0003,0.7604987025260925,0.041015625,0.2,203.64366120696067,930,144.9201202392578,0.006050501
95,194560,259,638.96,19.01642785,749,-0.004872926756070229,-0.7540054934099316,0.0003,0.7130934000015259,0.060498046875,0.2,167.61251994371415,940,134.12643432617188,0.003926399
96,196608,261,614.8,21.101935620000003,751,-0.00047396432928508147,-0.631816153600812,0.0003,0.7459515929222107,0.020654296875,0.2,108.97592868357897,950,20.067893981933594,0.0037003467
97,198656,263,585.34,27.474612490000005,753,-0.0016108151172375073,-0.7139833867549896,0.0003,0.5690723657608032,0.02392578125,0.2,268.4304786205292,960,52.330223083496094,0.0071776435
98,200704,265,547.68,30.89866913,754,-0.0026932898079394365,-0.7319752912968397,0.0003,0.5748860836029053,0.07392578125,0.2,144.14109013825654,970,9.738648414611816,0.00809972
99,202752,268,527.93,31.92342213,756,-0.002698190201044781,-0.6814295455813408,0.0003,0.6645108759403229,0.04111328125,0.2,234.54104739427567,980,358.283203125,0.003993353
100,204800,270,488.73,35.69649102,758,-0.0042232349660480395,-0.6941047521308065,0.0003,0.6118957698345184,0.042919921875,0.2,119.52940376624466,990,37.46882247924805,0.004589615
101,206848,271,455.05,40.574302870000004,760,-0.002599447029933799,-0.6970419760793447,0.0003,0.5310703217983246,0.03203125,0.2,258.9465587556362,1000,42.03092575073242,0.0041201166
102,208896,273,435.24,48.260748269999986,762,-0.0015416533264215105,-0.6649606604129076,0.0003,0.5571863651275635,0.02734375,0.2,212.04814900159835,1010,17.9431209564209,0.0050179865
103,210944,275,401.63,49.558888610000004,764,-0.003959584417316364,-0.76011071652174,0.0003,0.6713151335716248,0.089306640625,0.2,251.87100443840026,1020,91.97856140136719,0.013797693
104,212992,278,394.45,52.85278254000001,765,-0.003075779324717587,-0.7381490087136626,0.0003,0.4919555187225342,0.05673828125,0.2,213.2398792207241,1030,309.3323669433594,0.0060260864
105,215040,280,396.03,49.52750821999999,765,-0.004251250408560736,-0.6503324488177895,0.0003,0.6460553705692291,0.05458984375,0.2,187.87918989956378,1040,277.7142028808594,0.0056999456
106,217088,282,390.98,47.135079190000006,767,-0.003079962641641032,-0.5497455710545183,0.0003,0.7308649122714996,0.08173828125,0.2,117.00425568819045,1050,145.24148559570312,0.055585284
107,219136,285,385.13,44.812024380000004,768,-0.0014504696926451288,-0.6175904269330204,0.0003,0.6064943671226501,0.02265625,0.2,271.1518822133541,1060,374.6116638183594,0.0033556977
108,221184,286,372.88,52.14669517,770,-0.00017197775596287102,-0.5916231147013604,0.0003,0.6717992424964905,0.051513671875,0.2,226.59374350011348,1070,11.031230926513672,0.0024486256
109,223232,289,372.79,53.12775223,771,-0.0016255216003628447,-0.5709320584312081,0.0003,0.5218805074691772,0.0396484375,0.2,180.9794737458229,1080,359.4715576171875,0.004824634
110,225280,291,371.03,51.617865920000014,773,0.0001290760686970316,-0.6846631843596697,0.0003,0.8154539465904236,0.072509765625,0.2,90.94881441891194,1090,9.150242805480957,0.0058725984
111,227328,293,367.13,52.872407349999996,775,-0.003961239087948343,-0.6204221285879612,0.0003,0.6419066488742828,0.047900390625,0.2,292.3038878440857,1100,121.45269775390625,0.0046466286
112,229376,295,372.96,49.86772838000001,775,-0.005257032548979623,-0.5877988604828716,0.0003,0.6750620305538177,0.089404296875,0.2,256.65164163708687,1110,53.538143157958984,0.0058958065
113,231424,297,381.29,45.28846636,776,-0.002079330652850331,-0.5719784749671817,0.0003,0.7502558380365372,0.065869140625,0.2,102.24251058548688,1120,19.981367111206055,0.005254469
114,233472,299,373.8,49.518027919999994,778,-0.00290332226359169,-0.6761841762810945,0.0003,0.8388915359973907,0.11494140625,0.2,199.96553652882577,1130,39.661529541015625,0.009027317
115,235520,301,370.26,44.659927319999994,780,-0.002386534467950696,-0.5996470406651497,0.0003,0.637124091386795,0.051025390625,0.2,263.93762696683405,1140,36.82554244995117,0.0059659057
116,237568,303,366.45,44.57759946000001,782,-0.0016360143148631324,-0.6540478052571416,0.0003,0.7356826961040497,0.021044921875,0.2,231.9186749458313,1150,17.40904426574707,0.0027945836
117,239616,305,357.92,47.429785769999995,784,-0.004590441767504672,-0.6320757562294602,0.0003,0.6421406269073486,0.0443359375,0.2,280.1005381405354,1160,87.49383544921875,0.0043737898
118,241664,307,354.75,47.77484047,786,-0.0034541813845862636,-0.6109007333405316,0.0003,0.6985433995723724,0.0828125,0.2,243.3133589029312,1170,55.58198928833008,0.007950254
119,243712,309,352.95,49.65717288,788,-0.0024932349115260877,-0.67296201903373,0.0003,0.43822330236434937,0.03349609375,0.2,147.6790717869997,1180,17.18266487121582,0.003034921
120,245760,310,348.9,45.21195527999999,790,-0.003416135512816254,-0.5876945490948856,0.0003,0.5050400197505951,0.0359375,0.2,226.5646165370941,1190,160.280029296875,0.0026703712
121,247808,313,349.26,45.47681978,791,-0.002448922434268752,-0.5992614441551268,0.0003,0.7642317414283752,0.029638671875,0.2,279.1830109596252,1200,144.9745635986328,0.003505565
122,249856,315,332.62,48.71433686,792,-0.0006390194132109173,-0.6281587241217494,0.0003,0.9033100977540016,0.057275390625,0.2,168.4528751373291,1210,59.47646713256836,0.003517249
123,251904,316,338.64,49.811247200000004,794,-0.0029861420200177234,-0.6267961021512747,0.0003,0.8050507009029388,0.118798828125,0.2,169.22863031625747,1220,329.2052307128906,0.009348036
1,2048,1,472.25,-120.5929625,1409,-0.0019663611466967266,-0.644929981417954,0.0003,0.7428253889083862,0.056494140625,0.2,232.46619413495063,1230,39.138771057128906,0.0033285539
2,4096,3,362.90909090909093,-122.72739645454546,1208,-0.004106812261306913,-0.6493782807141543,0.0003,0.8308577835559845,0.12353515625,0.2,107.93522272184491,1240,5.488438606262207,0.010280246
3,6144,5,328.70588235294116,-121.49877252941175,1171,-0.002131262177863391,-0.6917566375806927,0.0003,0.5795408487319946,0.070849609375,0.2,152.9838811814785,1250,15.462458610534668,0.007698357
4,8192,7,332.0416666666667,-121.41489912499999,1146,-0.0028651295877352824,-0.6004245037212967,0.0003,0.6084482073783875,0.06630859375,0.2,252.12530493736267,1260,53.49308776855469,0.005945441
5,10240,8,309.8787878787879,-119.40944333333333,1150,-0.003846843508654274,-0.6045607508160173,0.0003,0.7207242548465729,0.0654296875,0.2,179.39411729574203,1270,286.9479675292969,0.0063125165
6,12288,10,320.86842105263156,-129.43185923684212,1117,-0.004220710553636309,-0.5539438629522919,0.0003,0.7554391026496887,0.03896484375,0.2,226.59190527796744,1280,21.806930541992188,0.011466963
7,14336,13,326.09302325581393,-129.97767888372096,1092,-0.0025667944297310895,-0.6557762205600739,0.0003,0.6250539720058441,0.094775390625,0.2,199.625808095932,1290,12.558891296386719,0.009046841
8,16384,15,324.02,-129.15282042,1091,-0.0033558066617842995,-0.5772180099971592,0.0003,0.7225485444068909,0.0703125,0.2,153.9078634172678,1300,5.7242231369018555,0.005825602
9,18432,16,331.8888888888889,-131.3790555,1094,-0.003806131332385121,-0.6458266034722329,0.0003,0.7064692676067352,0.0970703125,0.2,217.8541203826666,1310,13.086528778076172,0.0086755045
10,20480,18,337.28333333333336,-131.40910796666668,1097,-0.001407562227541348,-0.5404990687035024,0.0003,0.7860738337039948,0.07705078125,0.2,136.02267292290927,1320,8.522740364074707,0.01086782
11,22528,20,325.463768115942,-130.69413842028987,1107,-0.00284799234723323,-0.6177232603542506,0.0003,0.7764595597982407,0.080029296875,0.2,187.7090695977211,1330,231.08151245117188,0.0073100934
12,24576,22,319.12987012987014,-129.1007433506493,1110,-0.0006491076477686874,-0.5714563361369074,0.0003,0.7707712352275848,0.015673828125,0.2,294.7316884279251,1340,61.81313705444336,0.0026008096
13,26624,23,315.0238095238095,-124.67997216666666,1114,-0.0013593283103546128,-0.6168904341757298,0.0003,0.828021764755249,0.027734375,0.2,204.98084963262082,1350,26.587356567382812,0.0028433048
14,28672,25,305.80645161290323,-132.6247845483871,1119,-0.0017430882340704556,-0.6146138027310372,0.0003,0.8179503679275513,0.076171875,0.2,175.78665679097176,1360,261.6196594238281,0.006680687
15,30720,27,311.2142857142857,-129.852945755102,1124,-0.001496189969475381,-0.5959146653302014,0.0003,0.6016398072242737,0.0181640625,0.2,421.772864151001,1370,113.0506591796875,0.0029980864
16,32768,29,296.72,-131.77614642000003,1128,-0.0024783337947155816,-0.5855107066221535,0.0003,0.826014906167984,0.1341796875,0.2,109.0400821723044,1380,17.2972412109375,0.01876621
17,34816,30,291.96,-128.04171635000003,1133,-0.003372472706178087,-0.5598112313076854,0.0003,0.6255126893520355,0.022216796875,0.2,358.57124905586244,1390,74.8917007446289,0.004931358
18,36864,32,282.87,-134.16268567,1137,-0.0011617815231147687,-0.5326562141999602,0.0003,0.6908849775791168,0.04609375,0.2,238.4978308916092,1400,274.3593444824219,0.0055332296
19,38912,34,287.43,-131.40513855,1134,-0.004939803693559952,-0.5766046373173594,0.0003,0.7443223297595978,0.0314453125,0.2,341.837598824501,1410,341.453369140625,0.0033845415
20,40960,35,273.18,-124.9522891,1137,-0.0011371349093678873,-0.4652775074355304,0.0003,0.6459410786628723,0.046533203125,0.2,270.5571361064911,1420,24.18575096130371,0.0049215592
21,43008,37,267.97,-123.67004984,1141,-0.001710020434256876,-0.5679190865717828,0.0003,0.6831325590610504,0.047509765625,0.2,293.33467680811884,1430,330.1884765625,0.0069983806
22,45056,39,252.93,-119.81149206,1143,-0.0011790415119321551,-0.5336535204201936,0.0003,0.7420324981212616,0.03837890625,0.2,276.6338604569435,1440,356.03765869140625,0.003987713
23,47104,41,250.87,-122.25908359,1146,-0.0032218798296526074,-0.6232327057048679,0.0003,0.8070799112319946,0.10849609375,0.2,236.68167642354965,1450,215.111083984375,0.011663353
24,49152,42,244.45,-124.19844363,1151,-0.001367373593529919,-0.599391377903521,0.0003,0.6659802794456482,0.035595703125,0.2,373.43183346390725,1460,146.6588592529297,0.005060908
25,51200,44,239.44,-126.52954272999999,1153,-0.0054512084549060095,-0.5971789587289095,0.0003,0.684886634349823,0.034130859375,0.2,347.77890728712083,1470,75.39563751220703,0.0033015274
26,53248,46,243.62,-123.25612373,1155,-0.002826027425180655,-0.5287837514653801,0.0003,0.8065976798534393,0.0462890625,0.2,294.7088640332222,1480,110.25724792480469,0.0066495347
27,55296,47,241.6,-131.57633651000003,1153,-0.0037951743055600674,-0.5746569205075502,0.0003,0.5560339391231537,0.052001953125,0.2,426.48776936531067,1490,61.311805725097656,0.007253998
