time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss
0,-160.99914613043478,86.8695652173913,2322,2048,1,,,,,,,,,,
2,-153.04727602222223,89.46666666666667,1747,4096,2,0.018798828125,492.0879211425781,-0.0012271404266357422,1680.1380260467529,0.0058656354,-0.0076096455202787185,0.0003,0.2,10,-1.383541301265359
3,-156.36459319402988,91.5223880597015,1613,6144,3,0.016943359375,576.1834106445312,-0.04888904094696045,1862.1744234085083,0.0062788827,-0.00817532990477048,0.0003,0.2,20,-1.3752249613404275
5,-160.23653078409092,92.85227272727273,1557,8192,4,0.0296875,373.93798828125,0.0020453333854675293,869.0132596969604,0.008431496,-0.004641786846332252,0.0003,0.2,30,-1.3684044484049083
6,-158.5523727,95.06,1519,10240,5,0.03388671875,733.5371704101562,-0.002552628517150879,1491.577039337158,0.009966919,-0.00872553226799937,0.0003,0.2,40,-1.3597127057611942
8,-155.54465510999998,98.83,1491,12288,6,0.173388671875,187.00875854492188,-0.09125828742980957,802.8765838623046,0.018251315,-0.0092916904570302,0.0003,0.2,50,-1.3453616205602885
9,-152.37143822,99.47,1479,14336,7,0.051513671875,467.70477294921875,0.0001963973045349121,1637.5315286636353,0.0064092567,-0.005244707606470911,0.0003,0.2,60,-1.341774233058095
11,-149.39258597,103.1,1470,16384,8,0.125439453125,257.1945495605469,-0.0037240982055664062,659.7959853649139,0.010545109,-0.012900598974374589,0.0003,0.2,70,-1.3184759244322777
12,-147.19701488,109.37,1446,18432,9,0.0642578125,321.34796142578125,0.0006279349327087402,940.1037362098693,0.012146311,-0.008769246898009442,0.0003,0.2,80,-1.3061425529420376
14,-142.30016125,112.1,1433,20480,10,0.11474609375,219.52761840820312,-0.0059986114501953125,466.45402097702026,0.009551239,-0.00813484474492725,0.0003,0.2,90,-1.2659029155969619
15,-135.07427926999998,116.83,1416,22528,11,0.06357421875,224.08291625976562,0.0006677508354187012,484.0838572025299,0.0048558414,-0.003899982775328681,0.0003,0.2,100,-1.2220733523368836
17,-135.78232258999998,123.27,1402,24576,12,0.02958984375,220.77772521972656,0.0035954713821411133,416.2118220806122,0.009093856,-0.009168216182297328,0.0003,0.2,110,-1.17670180760324
19,-137.00334129,132.33,1387,26624,13,0.04150390625,403.7948303222656,0.09725397825241089,790.3098648071289,0.005034546,-0.0069082543297554365,0.0003,0.2,120,-1.181934140995145
20,-133.63666354000003,138.81,1378,28672,14,0.017724609375,402.7925720214844,0.2519418001174927,660.3975973129272,0.005819874,-0.004579389990976779,0.0003,0.2,130,-1.1939127158373595
22,-127.69731037999998,146.29,1374,30720,15,0.022412109375,274.92510986328125,0.3174021244049072,367.17210359573363,0.005819318,-0.004248928031302057,0.0003,0.2,140,-1.134229203313589
23,-129.7576011,150.88,1370,32768,16,0.057568359375,97.1102066040039,0.3917074203491211,484.4057530879974,0.011893384,-0.005913411073561292,0.0003,0.2,150,-1.1771139722317456
25,-128.86902070999997,156.62,1365,34816,17,0.040966796875,344.8509826660156,0.28769761323928833,424.24996147155764,0.00798558,-0.006891831225948409,0.0003,0.2,160,-1.1653847701847553
27,-130.22394719,165.24,1357,36864,18,0.050634765625,355.5679931640625,0.2814667224884033,588.4241140842438,0.006408431,-0.008272577141178772,0.0003,0.2,170,-1.1622158836573362
29,-129.40780396999997,177.12,1309,38912,19,0.037646484375,109.47994995117188,0.17330819368362427,431.1711417675018,0.007237039,-0.0058278266005800106,0.0003,0.2,180,-1.12546590231359
31,-124.58491520999998,190.98,1285,40960,20,0.0171875,95.2583999633789,0.15811264514923096,289.1238834142685,0.0067110895,-0.004083557402918814,0.0003,0.2,190,-1.1844189342111349
33,-129.5069998,196.15,1283,43008,21,0.090771484375,314.5934753417969,0.14421457052230835,384.31789882183074,0.008388558,-0.011156655696686358,0.0003,0.2,200,-1.1908317528665067
35,-122.51239259000002,209.1,1260,45056,22,0.040625,109.5744400024414,0.24150681495666504,373.0847094535828,0.00553036,-0.007719884002290201,0.0003,0.2,210,-1.0966945294290782
38,-122.61475286,219.09,1221,47104,23,0.055810546875,164.25491333007812,0.23484832048416138,246.9274764418602,0.008995777,-0.007173328075441532,0.0003,0.2,220,-1.1443785019218922
40,-122.00800339999999,230.65,1202,49152,24,0.0568359375,32.745643615722656,0.3826757073402405,144.29218618869783,0.007123161,-0.005158275325084105,0.0003,0.2,230,-1.1456436447799205
43,-117.98340123999998,244.71,1185,51200,25,0.05546875,89.11309814453125,0.3166567087173462,251.99281871318817,0.008297717,-0.004756748366344254,0.0003,0.2,240,-1.088049652054906
45,-119.62334106,263.11,1160,53248,26,0.03466796875,67.59559631347656,0.39335089921951294,190.64360221624375,0.005554948,-0.006437908510270063,0.0003,0.2,250,-1.0788268432021142
47,-118.45106054000001,272.11,1159,55296,27,0.05986328125,225.269287109375,0.4347074031829834,121.6035846054554,0.006067625,-0.008693392536952161,0.0003,0.2,260,-1.105126268044114
49,-118.05958996000001,280.16,1158,57344,28,0.0634765625,62.470184326171875,0.2588881850242615,288.7642964363098,0.0060613616,-0.008112714784510899,0.0003,0.2,270,-1.019411331228912
53,-111.86376652000001,298.04,1119,59392,29,0.03427734375,87.17278289794922,0.3044700622558594,337.2998699426651,0.0059135268,-0.0047013050054374615,0.0003,0.2,280,-0.9436369242146612
56,-113.24571376999998,311.89,1095,61440,30,0.07890625,15.295063018798828,0.7093877494335175,95.81825627088547,0.012319855,-0.00428717126196716,0.0003,0.2,290,-1.0485238406807185
59,-106.51800797999998,323.15,1075,63488,31,0.10849609375,60.57707595825195,0.42370450496673584,203.45810141563416,0.010919988,-0.007280296664976049,0.0003,0.2,300,-0.9921310994774103
61,-107.55272084999999,335.79,1070,65536,32,0.031884765625,31.66469383239746,0.426429808139801,173.18153655529022,0.005993086,-0.00526823987820535,0.0003,0.2,310,-0.9952844915911555
63,-104.95499761999997,354.82,1060,67584,33,0.110888671875,96.72844696044922,0.23131263256072998,237.7665688276291,0.0120421685,-0.007892439552233555,0.0003,0.2,320,-1.0080345632508396
66,-100.18642327999999,372.7,1050,69632,34,0.025537109375,59.53295135498047,0.22067290544509888,337.1915755748749,0.007186303,-0.005617148507735692,0.0003,0.2,330,-0.9842070925980806
68,-100.21347870999998,389.09,1043,71680,35,0.050927734375,60.790523529052734,0.17692887783050537,162.19837490320205,0.008655265,-0.005283863756631035,0.0003,0.2,340,-0.9685889014974236
73,-95.31568007999998,406.0,1004,73728,36,0.137548828125,20.265186309814453,0.25101834535598755,57.191791081428526,0.011727203,-0.010008807614212856,0.0003,0.2,350,-1.0490763833746315
76,-93.97848690000001,421.94,988,75776,37,0.11162109375,16.573326110839844,0.05536055564880371,37.30950711071491,0.009878489,-0.008316890870628414,0.0003,0.2,360,-1.052519614249468
